id,correct,baseline_correct,flip_type,n_tool_calls
electrolytes_fluids_003,True,True,no_change,5
electrolytes_fluids_004,False,False,no_change,4
electrolytes_fluids_005,True,True,no_change,0
electrolytes_fluids_006,True,True,no_change,4
electrolytes_fluids_007,True,True,no_change,4
electrolytes_fluids_008,True,True,no_change,4
epidemiology_001,True,True,no_change,4
epidemiology_002,True,True,no_change,4
epidemiology_003,True,True,no_change,4
epidemiology_004,False,False,no_change,4
epidemiology_005,False,False,no_change,0
epidemiology_006,True,True,no_change,4
epidemiology_007,False,False,no_change,0
geriatric_medicine_001,True,True,no_change,4
geriatric_medicine_002,True,False,wrong_to_right,4
geriatric_medicine_003,True,True,no_change,4
geriatric_medicine_004,True,True,no_change,4
geriatric_medicine_005,True,True,no_change,4
geriatric_medicine_006,True,True,no_change,4
geriatric_medicine_007,False,False,no_change,0
gynecology_pregnancy_001,False,False,no_change,0
gynecology_pregnancy_002,True,True,no_change,4
gynecology_pregnancy_003,False,False,no_change,4
gynecology_pregnancy_004,True,True,no_change,4
gynecology_pregnancy_005,False,False,no_change,5
gynecology_pregnancy_006,True,True,no_change,4
gynecology_pregnancy_007,True,True,no_change,4
gynecology_pregnancy_008,False,False,no_change,0
gynecology_pregnancy_009,True,False,wrong_to_right,4
gynecology_pregnancy_010,False,False,no_change,3
hematology_001,True,True,no_change,4
hematology_002,True,True,no_change,4
hematology_003,True,True,no_change,4
hematology_004,True,True,no_change,4
hematology_005,True,True,no_change,4
hematology_006,True,True,no_change,0
hematology_007,True,True,no_change,4
hematology_008,True,True,no_change,4
hematology_009,True,True,no_change,4
hematology_010,False,False,no_change,5
hematology_011,True,True,no_change,4
hematology_012,True,True,no_change,4
intensive_emergency_care_001,True,True,no_change,4
intensive_emergency_care_002,True,True,no_change,4
intensive_emergency_care_003,True,True,no_change,4
intensive_emergency_care_004,False,False,no_change,4
intensive_emergency_care_005,True,True,no_change,4
intensive_emergency_care_006,True,True,no_change,4
intensive_emergency_care_007,True,True,no_change,4
intensive_emergency_care_008,True,True,no_change,4
metabolic_disorders_001,True,True,no_change,3
metabolic_disorders_002,True,True,no_change,5
metabolic_disorders_003,True,True,no_change,5
metabolic_disorders_004,True,True,no_change,4
metabolic_disorders_005,True,True,no_change,4
other_001,True,True,no_change,2
other_002,True,True,no_change,6
other_003,True,True,no_change,4
other_004,True,True,no_change,4
other_005,False,False,no_change,0
other_006,False,False,no_change,3
other_007,True,True,no_change,6
other_008,False,False,no_change,0
other_009,True,True,no_change,3
pediatric_001,True,True,no_change,4
pediatric_002,True,True,no_change,5
pediatric_003,False,False,no_change,4
pediatric_004,False,False,no_change,4
pediatric_005,False,False,no_change,2
pediatric_006,True,True,no_change,5
pediatric_007,False,True,right_to_wrong,5
pediatric_008,True,True,no_change,3
pediatric_dosage_001,True,True,no_change,4
pediatric_dosage_002,True,True,no_change,4
pediatric_dosage_003,True,True,no_change,4
pediatric_dosage_004,True,True,no_change,4
pediatric_dosage_005,True,True,no_change,4
pediatric_dosage_006,True,True,no_change,4
percentile_001,False,False,no_change,4
percentile_002,True,True,no_change,4
percentile_003,True,True,no_change,4
percentile_005,True,True,no_change,4
psychiatry_psychology_001,False,False,no_change,4
psychiatry_psychology_002,True,False,wrong_to_right,4
psychiatry_psychology_003,True,True,no_change,0
psychiatry_psychology_004,False,True,right_to_wrong,3
psychiatry_psychology_005,True,True,no_change,4
pulmonary_001,True,True,no_change,4
pulmonary_002,True,True,no_change,5
pulmonary_003,True,True,no_change,4
pulmonary_004,False,False,no_change,4
pulmonary_005,True,False,wrong_to_right,8
pulmonary_006,True,True,no_change,5
pulmonary_007,True,True,no_change,4
pulmonary_008,False,False,no_change,4
pulmonary_009,True,True,no_change,0
pulmonary_010,False,False,no_change,4
radiology_001,False,True,right_to_wrong,0
radiology_002,False,False,no_change,4
radiology_003,True,True,no_change,4
radiology_004,True,False,wrong_to_right,4
sleep_001,True,True,no_change,4
sleep_002,False,False,no_change,4
sleep_003,True,True,no_change,4
sleep_004,False,True,right_to_wrong,4
sleep_005,False,False,no_change,4
urology_nephrology_001,True,True,no_change,5
urology_nephrology_002,True,True,no_change,4
urology_nephrology_003,True,True,no_change,4
urology_nephrology_004,True,True,no_change,4
urology_nephrology_005,True,True,no_change,4
urology_nephrology_006,True,True,no_change,6
urology_nephrology_007,True,True,no_change,4
urology_nephrology_008,False,False,no_change,4
urology_nephrology_009,True,True,no_change,4
addiction_medicine_008,True,True,no_change,4
addiction_medicine_009,True,True,no_change,4
addiction_medicine_010,False,False,no_change,4
addiction_medicine_011,True,True,no_change,4
addiction_medicine_012,True,False,wrong_to_right,4
addiction_medicine_013,True,True,no_change,4
addiction_medicine_014,False,False,no_change,4
bmi_007,True,True,no_change,8
bmi_008,True,True,no_change,5
bmi_009,True,True,no_change,4
bmi_010,True,True,no_change,5
bmi_011,True,True,no_change,4
bmi_012,True,True,no_change,4
body_measurements_009,True,True,no_change,4
body_measurements_010,True,True,no_change,4
body_measurements_011,True,True,no_change,4
body_measurements_012,True,True,no_change,4
body_measurements_013,False,False,no_change,4
body_measurements_014,True,True,no_change,4
body_measurements_015,True,True,no_change,4
body_measurements_016,False,False,no_change,4
cardiovascular_system_012,True,True,no_change,4
cardiovascular_system_013,True,True,no_change,7
cardiovascular_system_014,True,True,no_change,5
cardiovascular_system_015,True,True,no_change,4
cardiovascular_system_016,True,True,no_change,4
cardiovascular_system_017,True,True,no_change,4
cardiovascular_system_018,True,True,no_change,4
cardiovascular_system_019,True,True,no_change,5
cardiovascular_system_020,True,True,no_change,4
cardiovascular_system_021,False,False,no_change,0
cardiovascular_system_022,True,True,no_change,4
diabetes_008,True,True,no_change,4
diabetes_009,True,True,no_change,4
diabetes_010,True,True,no_change,4
diabetes_011,True,True,no_change,2
diabetes_012,True,True,no_change,5
diabetes_013,True,True,no_change,4
diabetes_014,False,False,no_change,4
dietary_008,False,False,no_change,4
dietary_009,False,False,no_change,4
dietary_010,True,True,no_change,4
dietary_011,False,False,no_change,0
dietary_012,False,False,no_change,4
dietary_013,True,True,no_change,4
dietary_014,True,True,no_change,4
digestive_system_008,False,False,no_change,4
digestive_system_009,True,True,no_change,4
digestive_system_010,True,True,no_change,4
digestive_system_011,True,True,no_change,4
digestive_system_012,True,True,no_change,6
digestive_system_013,True,True,no_change,4
digestive_system_014,True,False,wrong_to_right,5
dosage_012,True,True,no_change,4
dosage_013,True,True,no_change,5
dosage_014,True,True,no_change,4
dosage_015,False,False,no_change,3
dosage_017,True,True,no_change,6
dosage_018,False,False,no_change,4
dosage_019,True,True,no_change,4
dosage_020,True,True,no_change,4
dosage_021,True,True,no_change,5
dosage_022,True,True,no_change,4
electrolytes_fluids_009,True,True,no_change,4
electrolytes_fluids_010,True,True,no_change,4
electrolytes_fluids_011,True,True,no_change,4
electrolytes_fluids_012,False,False,no_change,4
electrolytes_fluids_013,True,True,no_change,4
electrolytes_fluids_014,True,True,no_change,4
electrolytes_fluids_015,True,True,no_change,4
electrolytes_fluids_016,True,True,no_change,4
epidemiology_008,True,True,no_change,4
epidemiology_009,True,True,no_change,0
epidemiology_010,True,True,no_change,4
epidemiology_011,False,False,no_change,0
epidemiology_012,False,False,no_change,0
epidemiology_013,True,True,no_change,4
epidemiology_014,False,False,no_change,2
geriatric_medicine_008,True,True,no_change,7
geriatric_medicine_009,False,False,no_change,4
geriatric_medicine_010,True,False,wrong_to_right,4
geriatric_medicine_011,False,False,no_change,4
geriatric_medicine_012,True,True,no_change,4
geriatric_medicine_013,False,False,no_change,4
geriatric_medicine_014,False,False,no_change,0
gynecology_pregnancy_011,False,False,no_change,0
gynecology_pregnancy_012,True,True,no_change,4
gynecology_pregnancy_013,False,False,no_change,4
gynecology_pregnancy_014,True,True,no_change,4
gynecology_pregnancy_015,True,True,no_change,5
gynecology_pregnancy_016,True,True,no_change,5
gynecology_pregnancy_017,True,True,no_change,4
gynecology_pregnancy_018,False,False,no_change,4
gynecology_pregnancy_019,True,True,no_change,4
gynecology_pregnancy_020,False,False,no_change,0
hematology_013,True,True,no_change,4
hematology_014,True,True,no_change,4
hematology_015,True,True,no_change,4
hematology_016,True,True,no_change,4
hematology_017,True,True,no_change,4
hematology_018,True,True,no_change,4
hematology_019,True,True,no_change,4
hematology_020,True,True,no_change,4
hematology_021,True,True,no_change,4
hematology_022,True,True,no_change,5
hematology_023,True,True,no_change,4
hematology_024,True,False,wrong_to_right,0
intensive_emergency_care_009,True,True,no_change,4
intensive_emergency_care_010,True,True,no_change,4
intensive_emergency_care_011,True,True,no_change,4
intensive_emergency_care_012,False,False,no_change,4
intensive_emergency_care_013,True,True,no_change,4
intensive_emergency_care_014,True,True,no_change,4
intensive_emergency_care_015,True,True,no_change,4
intensive_emergency_care_016,True,True,no_change,4
metabolic_disorders_006,True,True,no_change,2
metabolic_disorders_007,True,True,no_change,4
metabolic_disorders_008,False,True,right_to_wrong,0
metabolic_disorders_009,True,True,no_change,4
metabolic_disorders_010,True,True,no_change,4
other_010,True,True,no_change,5
other_011,True,True,no_change,5
other_012,True,True,no_change,4
other_013,True,True,no_change,4
other_014,False,False,no_change,0
other_015,True,False,wrong_to_right,6
other_016,False,False,no_change,0
other_017,False,True,right_to_wrong,0
other_018,True,True,no_change,6
pediatric_009,True,True,no_change,4
pediatric_010,True,True,no_change,5
pediatric_011,False,False,no_change,4
pediatric_012,False,False,no_change,5
pediatric_013,False,False,no_change,3
pediatric_014,True,True,no_change,6
pediatric_015,True,True,no_change,7
pediatric_016,False,False,no_change,4
pediatric_dosage_007,True,True,no_change,4
pediatric_dosage_008,True,True,no_change,4
pediatric_dosage_009,True,True,no_change,4
pediatric_dosage_010,True,True,no_change,4
pediatric_dosage_011,False,True,right_to_wrong,4
pediatric_dosage_012,True,True,no_change,5
percentile_006,True,True,no_change,4
percentile_007,True,True,no_change,4
percentile_008,True,True,no_change,4
percentile_010,True,True,no_change,4
psychiatry_psychology_006,True,True,no_change,4
psychiatry_psychology_007,False,False,no_change,4
psychiatry_psychology_008,True,True,no_change,4
psychiatry_psychology_009,True,True,no_change,5
psychiatry_psychology_010,True,True,no_change,4
pulmonary_011,True,True,no_change,4
pulmonary_012,True,True,no_change,5
pulmonary_013,True,True,no_change,4
pulmonary_014,True,True,no_change,4
pulmonary_015,True,True,no_change,4
pulmonary_016,True,True,no_change,6
pulmonary_017,True,True,no_change,4
pulmonary_018,False,False,no_change,4
pulmonary_019,True,True,no_change,3
pulmonary_020,False,False,no_change,4
radiology_005,True,True,no_change,4
radiology_006,False,False,no_change,4
radiology_007,True,True,no_change,4
radiology_008,True,True,no_change,4
sleep_006,True,True,no_change,4
sleep_007,True,True,no_change,4
sleep_008,True,True,no_change,6
sleep_009,False,False,no_change,4
sleep_010,False,False,no_change,4
urology_nephrology_010,True,True,no_change,5
urology_nephrology_011,False,False,no_change,4
urology_nephrology_012,True,True,no_change,4
urology_nephrology_013,True,True,no_change,4
urology_nephrology_014,True,True,no_change,4
urology_nephrology_015,True,True,no_change,5
urology_nephrology_016,True,True,no_change,4
urology_nephrology_017,False,False,no_change,4
urology_nephrology_018,True,True,no_change,4
addiction_medicine_015,True,True,no_change,4
addiction_medicine_016,True,True,no_change,4
addiction_medicine_017,False,False,no_change,4
addiction_medicine_018,True,True,no_change,4
addiction_medicine_019,True,True,no_change,4
addiction_medicine_020,True,True,no_change,4
addiction_medicine_021,False,False,no_change,4
bmi_013,True,True,no_change,4
bmi_014,False,False,no_change,4
bmi_015,False,False,no_change,4
bmi_016,False,False,no_change,5
bmi_017,True,True,no_change,4
bmi_018,True,True,no_change,4
body_measurements_017,True,True,no_change,4
body_measurements_018,True,True,no_change,4
body_measurements_019,True,True,no_change,4
body_measurements_020,True,True,no_change,4
body_measurements_021,False,False,no_change,4
body_measurements_022,True,True,no_change,4
body_measurements_023,True,True,no_change,4
body_measurements_024,False,False,no_change,4
cardiovascular_system_023,True,True,no_change,4
cardiovascular_system_024,True,True,no_change,4
cardiovascular_system_025,True,True,no_change,5
cardiovascular_system_026,True,True,no_change,4
cardiovascular_system_027,True,True,no_change,4
cardiovascular_system_028,True,True,no_change,4
cardiovascular_system_029,True,True,no_change,4
cardiovascular_system_030,True,True,no_change,5
cardiovascular_system_031,True,True,no_change,4
cardiovascular_system_032,True,False,wrong_to_right,7
cardiovascular_system_033,True,True,no_change,10
diabetes_015,True,True,no_change,4
diabetes_016,True,True,no_change,5
diabetes_017,True,True,no_change,4
diabetes_018,True,True,no_change,6
diabetes_019,True,True,no_change,5
diabetes_020,True,True,no_change,4
diabetes_021,True,True,no_change,0
dietary_015,True,True,no_change,4
dietary_016,False,False,no_change,4
dietary_017,True,True,no_change,4
dietary_018,True,True,no_change,4
dietary_019,False,False,no_change,4
dietary_020,False,False,no_change,3
dietary_021,True,True,no_change,4
digestive_system_015,True,True,no_change,4
digestive_system_016,True,True,no_change,4
digestive_system_017,True,True,no_change,4
digestive_system_018,True,True,no_change,4
digestive_system_019,False,True,right_to_wrong,0
digestive_system_020,True,True,no_change,4
digestive_system_021,True,True,no_change,0
dosage_023,True,True,no_change,4
dosage_024,True,True,no_change,4
dosage_025,True,True,no_change,4
dosage_026,False,False,no_change,5
dosage_027,False,False,no_change,4
dosage_028,True,True,no_change,5
dosage_029,False,False,no_change,4
dosage_030,True,True,no_change,4
dosage_031,True,True,no_change,0
dosage_032,True,True,no_change,4
dosage_033,False,False,no_change,0
electrolytes_fluids_017,True,True,no_change,4
electrolytes_fluids_018,True,False,wrong_to_right,4
electrolytes_fluids_019,True,True,no_change,4
electrolytes_fluids_020,False,False,no_change,4
electrolytes_fluids_021,True,True,no_change,4
electrolytes_fluids_022,True,True,no_change,4
electrolytes_fluids_023,True,True,no_change,4
electrolytes_fluids_024,True,True,no_change,4
epidemiology_015,True,True,no_change,4
epidemiology_016,True,True,no_change,4
epidemiology_017,True,True,no_change,0
epidemiology_018,False,False,no_change,4
epidemiology_019,False,False,no_change,0
epidemiology_020,True,True,no_change,4
epidemiology_021,False,False,no_change,2
geriatric_medicine_015,True,True,no_change,4
geriatric_medicine_016,False,False,no_change,4
geriatric_medicine_017,False,False,no_change,0
geriatric_medicine_018,False,False,no_change,4
geriatric_medicine_019,True,True,no_change,5
geriatric_medicine_020,True,True,no_change,4
geriatric_medicine_021,False,False,no_change,4
gynecology_pregnancy_021,False,False,no_change,4
gynecology_pregnancy_022,False,True,right_to_wrong,4
gynecology_pregnancy_023,True,True,no_change,4
gynecology_pregnancy_024,True,True,no_change,4
gynecology_pregnancy_025,True,True,no_change,4
gynecology_pregnancy_026,True,True,no_change,4
gynecology_pregnancy_027,True,True,no_change,4
gynecology_pregnancy_028,True,True,no_change,4
gynecology_pregnancy_029,False,False,no_change,4
gynecology_pregnancy_030,False,False,no_change,2
hematology_025,True,True,no_change,4
hematology_026,True,True,no_change,4
hematology_027,True,True,no_change,4
hematology_028,True,True,no_change,4
hematology_029,True,True,no_change,4
hematology_030,True,True,no_change,4
hematology_031,True,True,no_change,4
hematology_032,False,False,no_change,2
hematology_033,True,True,no_change,4
hematology_034,True,True,no_change,5
hematology_035,True,True,no_change,4
hematology_036,True,True,no_change,4
intensive_emergency_care_017,True,True,no_change,5
intensive_emergency_care_018,True,True,no_change,4
intensive_emergency_care_019,True,True,no_change,4
intensive_emergency_care_020,False,False,no_change,4
intensive_emergency_care_021,True,True,no_change,4
intensive_emergency_care_022,True,True,no_change,4
intensive_emergency_care_023,True,True,no_change,4
intensive_emergency_care_024,True,True,no_change,4
metabolic_disorders_011,True,True,no_change,3
metabolic_disorders_012,True,True,no_change,5
metabolic_disorders_013,True,True,no_change,5
metabolic_disorders_014,False,True,right_to_wrong,4
metabolic_disorders_015,True,True,no_change,2
other_019,True,True,no_change,2
other_020,True,True,no_change,5
other_021,True,True,no_change,4
other_022,True,True,no_change,5
other_023,False,False,no_change,0
other_024,False,False,no_change,2
other_025,True,False,wrong_to_right,6
other_026,True,True,no_change,4
other_027,False,True,right_to_wrong,3
pediatric_017,False,True,right_to_wrong,0
pediatric_018,True,True,no_change,5
pediatric_019,False,False,no_change,4
pediatric_020,False,False,no_change,4
pediatric_021,False,False,no_change,4
pediatric_022,True,False,wrong_to_right,6
pediatric_023,True,False,wrong_to_right,7
pediatric_024,False,False,no_change,0
pediatric_dosage_013,False,False,no_change,0
pediatric_dosage_014,True,True,no_change,4
pediatric_dosage_015,True,False,wrong_to_right,4
pediatric_dosage_016,True,True,no_change,4
pediatric_dosage_018,True,True,no_change,4
percentile_011,False,False,no_change,6
percentile_012,True,True,no_change,4
percentile_013,True,True,no_change,4
percentile_014,True,False,wrong_to_right,7
percentile_015,True,True,no_change,4
psychiatry_psychology_011,True,True,no_change,3
psychiatry_psychology_012,True,True,no_change,4
psychiatry_psychology_013,True,True,no_change,4
psychiatry_psychology_014,True,True,no_change,4
psychiatry_psychology_015,True,True,no_change,4
pulmonary_021,True,True,no_change,4
pulmonary_022,True,True,no_change,5
pulmonary_023,True,True,no_change,4
pulmonary_024,False,False,no_change,0
pulmonary_025,True,True,no_change,5
pulmonary_026,True,True,no_change,5
pulmonary_027,True,True,no_change,4
pulmonary_028,False,False,no_change,5
pulmonary_029,True,True,no_change,4
pulmonary_030,False,False,no_change,4
radiology_009,False,True,right_to_wrong,4
radiology_010,False,False,no_change,0
radiology_011,True,True,no_change,4
radiology_012,True,True,no_change,4
sleep_011,False,False,no_change,4
sleep_012,True,True,no_change,4
sleep_013,True,True,no_change,4
sleep_014,False,True,right_to_wrong,4
sleep_015,False,False,no_change,4
urology_nephrology_019,True,True,no_change,6
urology_nephrology_020,True,True,no_change,4
urology_nephrology_021,True,True,no_change,4
urology_nephrology_022,True,True,no_change,4
urology_nephrology_023,True,True,no_change,4
urology_nephrology_024,True,True,no_change,5
urology_nephrology_025,True,True,no_change,4
urology_nephrology_026,True,True,no_change,5
urology_nephrology_027,True,True,no_change,4
hematology_037,True,True,no_change,4
hematology_038,True,True,no_change,4
hematology_039,True,True,no_change,4
electrolytes_fluids_025,True,True,no_change,4
dosage_034,False,False,no_change,0
addiction_medicine_022,True,True,no_change,6
urology_nephrology_028,True,True,no_change,5
urology_nephrology_029,True,False,wrong_to_right,0
hematology_040,True,True,no_change,4
dosage_035,True,True,no_change,4
intensive_emergency_care_025,True,True,no_change,5
hematology_041,True,True,no_change,4
electrolytes_fluids_026,True,True,no_change,4
cardiovascular_system_034,True,True,no_change,4
electrolytes_fluids_027,True,True,no_change,5
digestive_system_022,True,True,no_change,4
addiction_medicine_023,True,True,no_change,4
pediatric_025,True,True,no_change,4
pediatric_026,False,False,no_change,5
body_measurements_025,True,True,no_change,4
gynecology_pregnancy_031,True,True,no_change,4
body_measurements_026,False,False,no_change,4
dietary_022,True,True,no_change,4
dosage_036,False,False,no_change,4
geriatric_medicine_022,False,False,no_change,4
urology_nephrology_030,True,True,no_change,4
hematology_042,True,True,no_change,4
cardiovascular_system_035,True,True,no_change,4
bmi_019,False,False,no_change,4
dietary_023,True,True,no_change,2
pulmonary_031,False,False,no_change,0
body_measurements_027,False,False,no_change,4
body_measurements_028,True,True,no_change,4
gynecology_pregnancy_032,False,False,no_change,4
body_measurements_029,True,True,no_change,4
addiction_medicine_024,False,False,no_change,2
addiction_medicine_025,True,True,no_change,4
dietary_024,False,False,no_change,4
dietary_025,False,False,no_change,4
dietary_026,True,True,no_change,4
cardiovascular_system_036,True,True,no_change,4
cardiovascular_system_037,True,True,no_change,4
dosage_037,False,False,no_change,4
cardiovascular_system_038,True,True,no_change,2
gynecology_pregnancy_033,False,False,no_change,4
metabolic_disorders_016,False,False,no_change,0
metabolic_disorders_017,False,False,no_change,0
addiction_medicine_026,True,True,no_change,4
gynecology_pregnancy_034,True,True,no_change,4
electrolytes_fluids_028,True,True,no_change,4
electrolytes_fluids_029,True,True,no_change,4
cardiovascular_system_039,True,True,no_change,4
pulmonary_032,True,True,no_change,4
hematology_043,True,True,no_change,5
hematology_044,True,True,no_change,4
cardiovascular_system_040,True,True,no_change,4
dosage_038,False,False,no_change,4
electrolytes_fluids_030,False,False,no_change,4
electrolytes_fluids_031,True,True,no_change,4
dosage_039,True,True,no_change,5
addiction_medicine_027,True,True,no_change,0
cardiovascular_system_041,True,True,no_change,4
cardiovascular_system_042,True,True,no_change,4
cardiovascular_system_043,True,True,no_change,4
gynecology_pregnancy_035,True,True,no_change,4
dietary_027,True,True,no_change,4
gynecology_pregnancy_036,True,True,no_change,4
urology_nephrology_031,True,True,no_change,4
cardiovascular_system_044,True,True,no_change,4
diabetes_022,True,True,no_change,4
pediatric_027,False,False,no_change,0
dietary_028,True,True,no_change,4
gynecology_pregnancy_037,True,True,no_change,4
urology_nephrology_032,True,True,no_change,4
dietary_029,True,True,no_change,4
addiction_medicine_028,False,False,no_change,4
dosage_040,False,False,no_change,0
gynecology_pregnancy_038,False,False,no_change,3
cardiovascular_system_045,True,True,no_change,4
gynecology_pregnancy_039,False,False,no_change,4
dosage_041,True,False,wrong_to_right,4
dietary_030,True,True,no_change,4
cardiovascular_system_046,True,False,wrong_to_right,5
cardiovascular_system_047,False,False,no_change,4
cardiovascular_system_048,False,False,no_change,4
pediatric_028,True,True,no_change,4
hematology_045,True,True,no_change,5
addiction_medicine_029,True,True,no_change,5
cardiovascular_system_049,False,False,no_change,4
body_measurements_030,True,True,no_change,4
dietary_031,True,True,no_change,4
gynecology_pregnancy_040,False,False,no_change,0
intensive_emergency_care_026,True,True,no_change,3
percentile_016,True,True,no_change,4
gynecology_pregnancy_041,False,False,no_change,0
body_measurements_031,True,True,no_change,2
dietary_032,True,True,no_change,5
dietary_033,False,False,no_change,3
dosage_042,False,False,no_change,5
dosage_043,False,False,no_change,3
digestive_system_023,True,True,no_change,4
pulmonary_033,True,True,no_change,4
pulmonary_034,True,True,no_change,0
pulmonary_035,True,True,no_change,4
gynecology_pregnancy_042,True,True,no_change,4
cardiovascular_system_050,True,True,no_change,4
dietary_034,False,False,no_change,4
gynecology_pregnancy_043,False,False,no_change,4
dietary_036,False,False,no_change,4
pulmonary_036,True,True,no_change,4
gynecology_pregnancy_044,True,True,no_change,4
dosage_044,True,True,no_change,5
hematology_046,True,True,no_change,4
urology_nephrology_033,True,True,no_change,5
dietary_037,True,True,no_change,4
hematology_047,True,True,no_change,5
cardiovascular_system_051,True,True,no_change,4
hematology_048,True,True,no_change,4
intensive_emergency_care_027,True,True,no_change,4
dietary_038,False,False,no_change,4
gynecology_pregnancy_045,True,True,no_change,4
body_measurements_032,True,True,no_change,4
cardiovascular_system_052,True,False,wrong_to_right,7
gynecology_pregnancy_046,True,True,no_change,4
pediatric_029,True,True,no_change,4
sleep_016,True,True,no_change,4
dosage_045,False,True,right_to_wrong,4
cardiovascular_system_053,True,True,no_change,0
gynecology_pregnancy_047,True,True,no_change,4
pulmonary_037,True,True,no_change,4
cardiovascular_system_054,False,False,no_change,0
electrolytes_fluids_032,True,True,no_change,4
body_measurements_033,True,True,no_change,4
gynecology_pregnancy_048,True,False,wrong_to_right,4
gynecology_pregnancy_049,True,True,no_change,4
urology_nephrology_034,True,True,no_change,4
urology_nephrology_035,True,True,no_change,4
pulmonary_038,False,False,no_change,4
intensive_emergency_care_028,True,True,no_change,4
dietary_039,False,False,no_change,0
diabetes_023,True,True,no_change,5
cardiovascular_system_055,True,True,no_change,4
cardiovascular_system_056,True,True,no_change,4
gynecology_pregnancy_050,False,False,no_change,4
cardiovascular_system_057,True,True,no_change,6
intensive_emergency_care_029,False,False,no_change,0
body_measurements_034,True,True,no_change,4
dietary_040,True,True,no_change,5
intensive_emergency_care_030,True,True,no_change,4
intensive_emergency_care_031,False,False,no_change,0
intensive_emergency_care_032,False,False,no_change,0
electrolytes_fluids_033,True,True,no_change,4
addiction_medicine_030,False,True,right_to_wrong,0
electrolytes_fluids_034,False,False,no_change,2
electrolytes_fluids_035,True,True,no_change,4
electrolytes_fluids_036,True,True,no_change,4
gynecology_pregnancy_051,True,True,no_change,3
addiction_medicine_031,True,True,no_change,4
dosage_046,False,False,no_change,4
cardiovascular_system_058,False,False,no_change,5
dietary_041,False,False,no_change,7
gynecology_pregnancy_052,True,True,no_change,5
cardiovascular_system_059,True,True,no_change,4
cardiovascular_system_060,True,True,no_change,5
dosage_047,False,False,no_change,0
urology_nephrology_036,True,True,no_change,4
urology_nephrology_037,True,True,no_change,0
electrolytes_fluids_037,True,True,no_change,4
pulmonary_039,True,True,no_change,4
dietary_042,True,True,no_change,0
body_measurements_035,False,False,no_change,0
diabetes_024,True,True,no_change,4
dietary_044,False,False,no_change,4
body_measurements_036,True,True,no_change,4
dietary_045,True,True,no_change,4
electrolytes_fluids_038,True,True,no_change,4
hematology_049,True,True,no_change,4
hematology_050,False,False,no_change,4
hematology_051,True,True,no_change,4
electrolytes_fluids_039,True,True,no_change,4
dosage_048,False,False,no_change,4
addiction_medicine_032,False,False,no_change,4
urology_nephrology_038,True,True,no_change,5
urology_nephrology_039,True,True,no_change,4
hematology_052,True,True,no_change,5
dosage_049,True,True,no_change,4
intensive_emergency_care_033,True,True,no_change,4
hematology_053,True,True,no_change,4
electrolytes_fluids_040,True,True,no_change,4
cardiovascular_system_061,True,True,no_change,4
electrolytes_fluids_041,True,True,no_change,5
digestive_system_024,True,True,no_change,4
addiction_medicine_033,False,False,no_change,0
pediatric_030,True,True,no_change,4
